Timestamp,What is your primary job role/category?,"If comfortable, please specify your exact job title (Optional):",What industry/sector do you work in?,Company size (number of employees),How many years of work experience do you have?,Work arrangement,What type of computer do you primarily use for work?,RAM (Memory) capacity,Processor (CPU) brand,Processor performance tier (if known),"Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):",Number of CPU cores,Processor base speed (GHz),Primary storage type,Total storage capacity,Graphics card (GPU) type,"If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):",Graphics card memory (VRAM),Operating system,Screen size (for laptops/all-in-ones),Do you use multiple monitors?,What software/applications do you use regularly?,What is the typical size of files you work with?,What is your budget for a PC?,Primary work activities,How many hours per day do you use your PC for work?,Do you run multiple applications simultaneously?,Rate the intensity of your typical workload:,Is your current PC sufficient for your work requirements?,What performance issues do you experience?,How often does your PC slow down or struggle during work?,Do you experience power interruptions at your location?,Do you use a UPS or generator?,What type of internet connection do you use for work?,"If you could upgrade your PC, what would you prioritize?",When was your current PC purchased or assigned to you?,PC form factor preference?,Portability requirement?,"Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
2025/05/17 4:52:28 PM GMT+5:30,Cybersecurity Specialist,Penetration Tester,Information Technology (IT),1000+ (Enterprise),7-10 years,Remote/Work from home,Desktop PC (Custom built),32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 6800H,10 cores,3.2 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3070,8 GB,Windows 11,32 inches (external monitor),Dual monitors,"Kali Linux, Wireshark, Metasploit, Burp Suite, VMs",Small (Under 10 MB),"Above LKR 300,000","SIEM monitoring, malware analysis, security audits",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",System freezes/lag,Never,Rarely (1-2 hours/month),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger battery (for laptops);Larger or faster storage (SSD upgrade),More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/04/21 1:05:35 PM GMT+5:30,IT Support/Helpdesk,Desktop Support Engineer,Information Technology (IT),501-1000 (Large organization),7-10 years,Remote/Work from home,Standard Laptop,16 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-10105,2 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,14 inches,Single monitor/screen only,"TeamViewer, Remote Desktop, JIRA, MS Office, Ticketing system",Small (Under 10 MB),"LKR 150,000 - 200,000","Hardware maintenance, software installation, user training",6-8 hours,Frequently (6-10 applications at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",Overheating,Never,Frequently (3-4 hours/week),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Faster storage (SSD upgrade);Larger battery (for laptops),2-3 years ago,Windows Laptop,Preferred portable but not critical,
2025/04/01 10:18:42 AM GMT+5:30,Database Administrator,SQL Developer,Information Technology (IT),1000+ (Enterprise),10+ years,Remote/Work from home,Desktop PC (Custom built),32 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 7600X,6 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,27 inches (external monitor),Single monitor/screen only,"DBeaver, pgAdmin, MongoDB Compass, Redis",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Database optimization, backup, query tuning",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",System freezes/lag,Rarely (once a week or less),Never,No (no backup power),Fiber broadband (University network),Better GPU (graphics card),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/03/18 5:31:49 PM GMT+5:30,School Student,A/L Student,Education - School,1-10 (Small business/Startup),Less than 1 year,Hybrid,Budget Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Celeron G6900,2 cores,2.4 GHz,eMMC storage,64 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11 Home,15 inches,Dual monitors,"Chrome, MS Office, Zoom, YouTube, Google Classroom",Small (Under 10 MB),"Under LKR 100,000","Watching educational videos, assignments, presentations",2-4 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),Application crashes,Frequently (multiple times daily),Never,Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Larger or faster storage (SSD upgrade),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2025/03/10 2:44:56 PM GMT+5:30,Home User/Personal Use,Casual Home User,Retail/E-commerce,1000+ (Enterprise),2-3 years,On-site (at campus/office),Budget Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-12100,4 cores,3.0 GHz,HDD (Hard Disk Drive),128 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11 Home,14 inches,Triple monitors,"MS Office, Zoom, Google Meet, Netflix, Email",Small (Under 10 MB),"Under LKR 100,000","Basic document editing, video calls, content browsing",4-6 hours,Occasionally (2-3 apps at a time),"1 - Very light (email, web browsing)","Yes, fully meets my needs",Overheating,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Yes (Generator),Mobile broadband (4G/5G dongle),Faster storage (SSD upgrade),More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2025/03/08 11:57:03 AM GMT+5:30,Retired Professional,Retired Teacher,Government/Public Sector,11-50 (Small to medium),1-3 years,Hybrid,Standard Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Celeron G6900,4 cores,2.4 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,13 inches,Dual monitors,"Chrome, Zoom, MS Office, WhatsApp Web, Email",Small (Under 10 MB),"Under LKR 100,000","Email, video calls with family, web browsing, basic documents",2-4 hours,Rarely (1-2 apps at a time),"1 - Very light (email, web browsing)",No (insufficient for my needs),Application crashes,Frequently (multiple times daily),Frequently (3-4 hours/week),No (no backup power),Fiber broadband (University network),Better GPU (graphics card),More than 3 years ago,Windows Laptop,Preferred portable but not critical,
2025/03/12 8:10:10 AM GMT+5:30,Small Shop Owner,Small Business Owner,Retail/E-commerce,11-50 (Small to medium),10+ years,Remote/Work from home,Budget Laptop,8 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 3 4300G,4 cores,1.1 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11 Home,14 inches,Dual monitors,"Tally, MS Office, Chrome, Email, WhatsApp Web",Small (Under 10 MB),"Under LKR 100,000","Basic billing, inventory tracking, email, WhatsApp",2-4 hours,Occasionally (2-3 apps at a time),"1 - Very light (email, web browsing)",Partially (some tasks are slow or require workarounds),No performance issues,Never,Rarely (1-2 hours/month),Not needed,Fiber broadband (University network),Better GPU (graphics card),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),
2025/03/22 3:23:17 PM GMT+5:30,Teacher/Educator,University Lecturer,Education - University,11-50 (Small to medium),Less than 1 year,Remote/Work from home,Standard Laptop,4 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,8 cores,2.5 GHz,SATA SSD (Slower SSD),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,14 inches,Single monitor/screen only,"PowerPoint, Google Classroom, YouTube, Email",Small (Under 10 MB),"Under LKR 100,000","Lesson preparation, online teaching, grading, LMS management",6-8 hours,Rarely (1-2 apps at a time),"1 - Very light (email, web browsing)",Partially (some tasks are slow or require workarounds),Slow boot times;Application crashes;Overheating,Rarely (once a week or less),Frequently (3-4 hours/week),Not needed,Fiber broadband (University network),Larger or faster storage (SSD upgrade),Less than 1 year ago,Windows Laptop,Preferred portable but not critical,
2025/04/07 12:36:24 PM GMT+5:30,Medical/Healthcare Professional,Doctor,Healthcare,11-50 (Small to medium),10+ years,Hybrid,Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12500,6 cores,3.3 GHz,HDD (Hard Disk Drive),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,24 inches (external monitor),Triple monitors,"HMIS, OpenEMR, MS Office, Zoom, PACS viewer",Small (Under 10 MB),"LKR 100,000 - 150,000","EMR/EHR data entry, telemedicine, prescriptions",6-8 hours,Occasionally (2-3 apps at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow boot times;System freezes/lag,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Not needed,ADSL broadband,Faster storage (SSD upgrade);Faster CPU/Processor,2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/04/29 9:49:31 AM GMT+5:30,Architect/Civil Engineer,Structural Engineer,Engineering/Manufacturing,51-200 (Medium-sized business),10+ years,Remote/Work from home,Gaming Laptop,16 GB,AMD,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",AMD Ryzen 9 5950X,24 cores,4.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,17 inches,Single monitor/screen only,"AutoCAD, Revit, SketchUp, Lumion, 3ds Max",Very large files (1 GB+),"Above LKR 300,000","Site planning, engineering simulations, drawings",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Never,Rarely (1-2 hours/month),Yes (UPS),Fiber broadband (University network),More RAM (memory);Faster CPU/Processor,More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/05/27 4:02:38 PM GMT+5:30,Mobile App Developer,React Native Developer,Information Technology (IT),201-500 (Large organization),2-3 years,Remote/Work from home,MacBook or Mac desktop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 5800X,12 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,macOS,13 inches,Single monitor/screen only,"React Native, Expo, Simulator, Git, Postman",Small (Under 10 MB),"LKR 200,000 - 250,000","Cross-platform app development, API integration",6-8 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",System freezes/lag,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),No (no backup power),Mobile broadband (4G/5G dongle),More RAM (memory);Faster storage (SSD upgrade);Better GPU (graphics card),More than 3 years ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2025/06/30 1:15:45 PM GMT+5:30,Game Developer,Game Programmer,Creative Arts/Media,201-500 (Large organization),10+ years,On-site (at campus/office),Gaming Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 7700X,8 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060,8 GB,Windows 11,15 inches,Single monitor/screen only,"Unity, Unreal Engine, Blender, VS Code, Git",Large files (100 MB - 1 GB),"Above LKR 300,000","Shader programming, physics simulation, optimization",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),System freezes/lag,Rarely (once a week or less),Occasionally (1-2 hours/week),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger battery (for laptops),Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
2025/08/09 10:28:52 AM GMT+5:30,QA/Test Engineer,Software Test Engineer,Information Technology (IT),1000+ (Enterprise),1-3 years,Remote/Work from home,Standard Laptop,8 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 3 4300G,2 cores,2.4 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,14 inches,Single monitor/screen only,"Cypress, Robot Framework, JMeter, Xray",Small (Under 10 MB),"LKR 200,000 - 250,000","Performance testing, regression testing, test case design",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Overheating,Rarely (once a week or less),Frequently (3-4 hours/week),Yes (Generator),ADSL broadband,Faster CPU/Processor;Faster storage (SSD upgrade);Larger battery (for laptops),2-3 years ago,Windows Laptop,Preferred portable but not critical,
2025/09/24 5:41:59 PM GMT+5:30,Architect/Civil Engineer,Architect,Engineering/Manufacturing,11-50 (Small to medium),1-3 years,Hybrid,Gaming Laptop,64 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-1355U,10 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 4060,8 GB,Windows 11,17 inches,Triple monitors,"STAAD Pro, ETABS, ArchiCAD, Rhino",Large files (100 MB - 1 GB),"LKR 250,000 - 300,000","CAD design, structural analysis, BIM modeling, rendering",6-8 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Rarely (1-2 hours/month),Yes (Generator),ADSL broadband,Better GPU (graphics card);Faster storage (SSD upgrade),2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/11/15 2:54:06 PM GMT+5:30,Mobile App Developer,Android Developer,Information Technology (IT),501-1000 (Large organization),Less than 1 year,Hybrid,Gaming Laptop,32 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600G,6 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,15 inches,Triple monitors,"Android Studio, Xcode, Flutter SDK, VS Code, Firebase",Small (Under 10 MB),"LKR 250,000 - 300,000","Cross-platform app development, API integration",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow boot times,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Yes (Generator),Mobile broadband (4G/5G dongle),Larger or faster storage (SSD upgrade);More RAM (memory);Faster CPU/Processor,Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
2026/01/12 11:07:13 AM GMT+5:30,Game Developer,Unity Developer,Creative Arts/Media,1-10 (Small business/Startup),Less than 1 year,On-site (at campus/office),Gaming Laptop,32 GB,Intel,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",Intel Core i9-13900K,16 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",AMD Radeon RX 6700 XT,8 GB,Windows 11,17 inches,Triple monitors,"C#, C++, Maya, Substance Painter, Perforce",Very large files (1 GB+),"Above LKR 300,000","Shader programming, physics simulation, optimization",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",No performance issues,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Not needed,ADSL broadband,Larger battery (for laptops),Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
2025/01/16 8:20:20 AM GMT+5:30,QA/Test Engineer,QA Engineer,Information Technology (IT),501-1000 (Large organization),Less than 1 year,Remote/Work from home,Desktop PC (Standard),16 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 3 5300G,2 cores,1.1 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,21 inches,Dual monitors,"Cypress, Robot Framework, JMeter, Xray",Small (Under 10 MB),"LKR 150,000 - 200,000","Performance testing, regression testing, test case design",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),System freezes/lag;Application crashes,Never,Frequently (3-4 hours/week),Not needed,ADSL broadband,Larger or faster storage (SSD upgrade);More RAM (memory);Faster CPU/Processor,More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/03/27 3:33:27 PM GMT+5:30,Architect/Civil Engineer,CAD Technician,Engineering/Manufacturing,51-200 (Medium-sized business),Less than 1 year,Hybrid,Gaming Laptop,16 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 7700X,8 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",AMD Radeon RX 6700 XT,8 GB,Windows 11,15 inches,Triple monitors,"STAAD Pro, ETABS, ArchiCAD, Rhino",Very large files (1 GB+),"Above LKR 300,000","Site planning, engineering simulations, drawings",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Never,Rarely (1-2 hours/month),Yes (Generator),ADSL broadband,Faster CPU/Processor;Larger or faster storage (SSD upgrade),1-2 years ago,Gaming Laptop,Preferred portable but not critical,
2025/06/11 12:46:34 PM GMT+5:30,Mobile App Developer,Android Developer,Information Technology (IT),51-200 (Medium-sized business),10+ years,On-site (at campus/office),Gaming Laptop,32 GB,Apple,"High-end (i7, Ryzen 7, M2/M3)",Apple M2 Max,12 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1660,4 GB,Windows 11,15 inches,Triple monitors,"React Native, Expo, Simulator, Git, Postman",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Cross-platform app development, API integration",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),No performance issues,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster CPU/Processor,2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/09/01 9:59:41 AM GMT+5:30,Game Developer,Unity Developer,Creative Arts/Media,201-500 (Large organization),1-3 years,Hybrid,Gaming Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5950X,10 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060,8 GB,Windows 11,15 inches,Single monitor/screen only,"Unity, Unreal Engine, Blender, VS Code, Git",Large files (100 MB - 1 GB),"LKR 250,000 - 300,000","Game development, 3D modeling, level design, scripting",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),No performance issues,Occasionally (2-3 times per week),Never,No (no backup power),ADSL broadband,Faster CPU/Processor,More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/11/28 4:12:48 PM GMT+5:30,QA/Test Engineer,Automation Test Engineer,Information Technology (IT),1-10 (Small business/Startup),Less than 1 year,Hybrid,Desktop PC (Standard),16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600H,10 cores,3.6 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,24 inches (external monitor),Dual monitors,"Selenium, JIRA, TestRail, Postman, Chrome, Excel",Small (Under 10 MB),"LKR 150,000 - 200,000","Performance testing, regression testing, test case design",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Overheating,Rarely (once a week or less),Frequently (3-4 hours/week),Yes (Generator),ADSL broadband,Faster CPU/Processor;Better GPU (graphics card);Larger or faster storage (SSD upgrade),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
